,osmid,y,x,highway,street_count,ref,geometry
0,42421728,40.7980478,-73.9600437,traffic_signals,3,,POINT (-73.9600437 40.7980478)
1,42421731,40.7986542,-73.9614745,traffic_signals,4,,POINT (-73.9614745 40.7986542)
2,42421737,40.7992437,-73.9628734,traffic_signals,4,,POINT (-73.9628734 40.7992437)
3,42421741,40.8004295,-73.9656909,traffic_signals,4,,POINT (-73.9656909 40.8004295)
4,42421745,40.8013981,-73.9679955,traffic_signals,4,,POINT (-73.9679955 40.8013981)
5,42421749,40.8016452,-73.9685741,traffic_signals,4,,POINT (-73.9685741 40.8016452)
6,42421751,40.8022679,-73.9700504,,3,,POINT (-73.9700504 40.8022679)
7,42421769,40.7826383,-73.9750067,traffic_signals,3,,POINT (-73.9750067 40.7826383)
8,42421772,40.783828,-73.9778254,traffic_signals,4,,POINT (-73.9778254 40.783828)
9,42421775,40.7845691,-73.9795827,traffic_signals,4,,POINT (-73.9795827 40.7845691)
10,42421776,40.7850352,-73.9806732,traffic_signals,4,,POINT (-73.9806732 40.7850352)
11,42421778,40.7855915,-73.9820041,,3,,POINT (-73.9820041 40.7855915)
12,42421783,40.8593291,-73.9313239,traffic_signals,4,,POINT (-73.9313239 40.8593291)
13,42421785,40.858744,-73.930122,,3,,POINT (-73.930122 40.858744)
14,42421786,40.859012,-73.927625,,3,,POINT (-73.927625 40.859012)
15,42421791,40.859944,-73.926786,,3,,POINT (-73.926786 40.859944)
16,42421800,40.7839869,-73.9703125,traffic_signals,3,,POINT (-73.9703125 40.7839869)
17,42421803,40.7851818,-73.9731496,traffic_signals,4,,POINT (-73.9731496 40.7851818)
18,42421806,40.7863627,-73.9759753,traffic_signals,4,,POINT (-73.9759753 40.7863627)
19,42421809,40.7870877,-73.9776927,traffic_signals,4,,POINT (-73.9776927 40.7870877)
20,42421810,40.7875711,-73.9788225,traffic_signals,4,,POINT (-73.9788225 40.7875711)
21,42421820,40.788486,-73.9810702,traffic_signals,3,,POINT (-73.9810702 40.788486)
22,42421828,40.725326,-73.976212,,3,,POINT (-73.976212 40.725326)
23,42421852,40.8126219,-73.9568234,traffic_signals,3,,POINT (-73.9568234 40.8126219)
24,42421857,40.8138307,-73.9598214,traffic_signals,4,,POINT (-73.9598214 40.8138307)
25,42421865,40.814184,-73.9606929,,3,,POINT (-73.9606929 40.814184)
26,42421877,40.7328569,-73.9959291,traffic_signals,4,,POINT (-73.9959291 40.7328569)
27,42421889,40.7341463,-73.9991816,traffic_signals,4,,POINT (-73.9991816 40.7341463)
28,42421941,40.704221,-74.0087998,traffic_signals,3,,POINT (-74.0087998 40.704221)
29,42421946,40.703813,-74.008325,,3,,POINT (-74.008325 40.703813)
30,42421951,40.7033146,-74.0077696,traffic_signals,4,,POINT (-74.0077696 40.7033146)
31,42421960,40.7041084,-74.0089696,traffic_signals,4,,POINT (-74.0089696 40.7041084)
32,42421965,40.7032091,-74.0079803,traffic_signals,4,,POINT (-74.0079803 40.7032091)
33,42421969,40.7692956,-73.9810586,traffic_signals,3,,POINT (-73.9810586 40.7692956)
34,42421972,40.7697925,-73.982236,traffic_signals,4,,POINT (-73.982236 40.7697925)
35,42421974,40.7704797,-73.9838597,traffic_signals,3,,POINT (-73.9838597 40.7704797)
36,42421982,40.7716605,-73.986677,traffic_signals,4,,POINT (-73.986677 40.7716605)
37,42421985,40.7728633,-73.9895402,traffic_signals,4,,POINT (-73.9895402 40.7728633)
38,42421993,40.787235,-73.9679404,traffic_signals,3,,POINT (-73.9679404 40.787235)
39,42421996,40.7884325,-73.9707862,traffic_signals,4,,POINT (-73.9707862 40.7884325)
40,42422000,40.7896131,-73.9736025,traffic_signals,4,,POINT (-73.9736025 40.7896131)
41,42422006,40.7902583,-73.9751294,traffic_signals,4,,POINT (-73.9751294 40.7902583)
42,42422016,40.7908218,-73.9764487,traffic_signals,4,,POINT (-73.9764487 40.7908218)
43,42422018,40.7917878,-73.978619,traffic_signals,3,,POINT (-73.978619 40.7917878)
44,42422026,40.7115654,-74.0158085,traffic_signals,3,,POINT (-74.0158085 40.7115654)
45,42422028,40.7110102,-74.0143968,traffic_signals,4,,POINT (-74.0143968 40.7110102)
46,42422038,40.7096662,-74.0116524,traffic_signals,3,,POINT (-74.0116524 40.7096662)
47,42422042,40.7091439,-74.010521,traffic_signals,4,,POINT (-74.010521 40.7091439)
48,42422050,40.708614,-74.009371,,4,,POINT (-74.009371 40.708614)
49,42422053,40.7077219,-74.008269,,4,,POINT (-74.008269 40.7077219)
50,42422086,40.8016439,-73.9333873,,3,,POINT (-73.9333873 40.8016439)
51,42422110,40.8021471,-73.9337706,,3,,POINT (-73.9337706 40.8021471)
52,42422168,40.8021545,-73.9328935,,3,,POINT (-73.9328935 40.8021545)
53,42422258,40.748197,-74.00742,traffic_signals,3,,POINT (-74.00742 40.748197)
54,42422270,40.7062566,-74.0027542,motorway_junction,3,2,POINT (-74.0027542 40.7062566)
55,42422283,40.7094916,-74.001657,traffic_signals,5,,POINT (-74.001657 40.7094916)
56,42422399,40.7879993,-73.9827522,,3,,POINT (-73.9827522 40.7879993)
57,42422449,40.8007075,-73.9311515,,3,,POINT (-73.9311515 40.8007075)
58,42422509,40.7381466,-73.9736517,,3,,POINT (-73.9736517 40.7381466)
59,42422592,40.7849764,-73.9826519,traffic_signals,4,,POINT (-73.9826519 40.7849764)
60,42422899,40.7456709,-73.9721346,traffic_signals,4,,POINT (-73.9721346 40.7456709)
61,42423020,40.7460881,-73.9749735,traffic_signals,4,,POINT (-73.9749735 40.7460881)
62,42423039,40.7163982,-73.9757407,,3,,POINT (-73.9757407 40.7163982)
63,42423051,40.718847,-73.9748036,traffic_signals,4,,POINT (-73.9748036 40.718847)
64,42423070,40.7835314,-73.9853322,motorway_junction,3,,POINT (-73.9853322 40.7835314)
65,42423101,40.8442415,-73.9337078,traffic_signals,4,,POINT (-73.9337078 40.8442415)
