,u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,bridge,tunnel,width,junction
0,42421728,42432736,0,195743153,Central Park West,secondary,25 mph,False,False,86.25800000000001,"LINESTRING (-73.9600437 40.7980478, -73.9599624 40.798159, -73.9595472 40.7987264)",,,,,,,
1,42421728,42435337,0,195743153,Central Park West,secondary,25 mph,False,True,85.345,"LINESTRING (-73.9600437 40.7980478, -73.9601116 40.7979549, -73.9604229 40.7975294, -73.9604907 40.7974335, -73.9605349 40.7973764)",,,,,,,
2,42421728,42421731,0,"[420625565, 420625573, 5668966]",West 106th Street,secondary,,False,False,138.03300000000002,"LINESTRING (-73.9600437 40.7980478, -73.960166 40.7980991, -73.9601892 40.7981088, -73.9604229 40.7982075, -73.9607088 40.7983289, -73.9611061 40.7984943, -73.9614745 40.7986542)",,,,,,,
3,42421731,42437916,0,5671485,Manhattan Avenue,residential,,False,True,86.149,"LINESTRING (-73.9614745 40.7986542, -73.96197 40.7979763)",,,,,,,
4,42421731,42432737,0,195743186,Manhattan Avenue,residential,,False,False,85.611,"LINESTRING (-73.9614745 40.7986542, -73.9609798 40.7993269)",,,,,,,
5,42421731,42421728,0,"[420625565, 5668966, 420625573]",West 106th Street,secondary,,False,True,138.03300000000002,"LINESTRING (-73.9614745 40.7986542, -73.9611061 40.7984943, -73.9607088 40.7983289, -73.9604229 40.7982075, -73.9601892 40.7981088, -73.960166 40.7980991, -73.9600437 40.7980478)",,,,,,,
6,42421731,42421737,0,"[195743201, 420625570]",West 106th Street,secondary,,False,False,134.77100000000002,"LINESTRING (-73.9614745 40.7986542, -73.9621333 40.7989327, -73.9626775 40.7991586, -73.9628734 40.7992437)",,,,,,,
7,42421737,42421731,0,"[195743201, 420625570]",West 106th Street,secondary,,False,True,134.771,"LINESTRING (-73.9628734 40.7992437, -73.9626775 40.7991586, -73.9621333 40.7989327, -73.9614745 40.7986542)",,,,,,,
8,42421737,42437917,0,420625563,Columbus Avenue,primary,25 mph,True,False,85.991,"LINESTRING (-73.9628734 40.7992437, -73.9633289 40.7986246, -73.9633705 40.7985681)",3,,,,,,
9,42421737,42421741,0,420625567,West 106th Street,secondary,,False,True,271.351,"LINESTRING (-73.9628734 40.7992437, -73.9630191 40.7993056, -73.9655919 40.8003878, -73.9656909 40.8004295)",,,,,,,
10,42421741,42432756,0,"[957050578, 196116970]",Amsterdam Avenue,primary,,True,False,86.10900000000001,"LINESTRING (-73.9656909 40.8004295, -73.9656159 40.8005331, -73.965312 40.8009526, -73.965237 40.8010522, -73.9651957 40.8011071)","['3', '4']",,,,,,
11,42421741,1061531654,0,"[420625569, 196117060, 420625564]",West 106th Street,secondary,,False,False,199.796,"LINESTRING (-73.9656909 40.8004295, -73.9657925 40.8004727, -73.9658039 40.8004774, -73.9658439 40.800494, -73.9661491 40.8006204, -73.9673199 40.8011177, -73.9675993 40.8012339, -73.9676493 40.8012546, -73.9677649 40.8013033)",,,,,,,
12,42421741,42421737,0,420625567,West 106th Street,secondary,,False,False,271.351,"LINESTRING (-73.9656909 40.8004295, -73.9655919 40.8003878, -73.9630191 40.7993056, -73.9628734 40.7992437)",,,,,,,
13,42421745,1061531654,0,195743200,West 106th Street,secondary,,False,False,22.088,"LINESTRING (-73.9679955 40.8013981, -73.9677649 40.8013033)",,,,,,,
14,42421745,42421749,0,"[420625568, 68674963]",West 106th Street,secondary,,False,True,55.92100000000001,"LINESTRING (-73.9679955 40.8013981, -73.9680942 40.8014388, -73.9683989 40.8015708, -73.9684414 40.8015882, -73.9685741 40.8016452)",,,,,,,
15,42421745,42428751,0,196116982,Broadway,primary,25 mph,True,False,93.39999999999999,"LINESTRING (-73.9679955 40.8013981, -73.9680098 40.8012713, -73.9680755 40.8006868, -73.9680842 40.8006315, -73.9680953 40.8005616)",4,,,,,,
